"gillnet_pair <- rep(turtle_data[[1]], 2)",treatment <- ...,metric,value
18,Control,Loggerhead turtle number BPUE,0
19,Control,Loggerhead turtle number BPUE,0.95332671300893734
20,Control,Loggerhead turtle number BPUE,0.54975261132490383
21,Control,Loggerhead turtle number BPUE,0
22,Control,Loggerhead turtle number BPUE,0
23,Control,Loggerhead turtle number BPUE,0
24,Control,Loggerhead turtle number BPUE,0
25,Control,Loggerhead turtle number BPUE,0
26,Control,Loggerhead turtle number BPUE,0
27,Control,Loggerhead turtle number BPUE,0
28,Control,Loggerhead turtle number BPUE,0
1,Illuminated,Loggerhead turtle number BPUE,0
2,Illuminated,Loggerhead turtle number BPUE,0
3,Illuminated,Loggerhead turtle number BPUE,0
4,Illuminated,Loggerhead turtle number BPUE,0.75797452363406681
5,Illuminated,Loggerhead turtle number BPUE,0.53357047576700756
6,Illuminated,Loggerhead turtle number BPUE,0
7,Illuminated,Loggerhead turtle number BPUE,0.46213093709884473
8,Illuminated,Loggerhead turtle number BPUE,0
9,Illuminated,Loggerhead turtle number BPUE,0.51764299887844023
10,Illuminated,Loggerhead turtle number BPUE,0
11,Illuminated,Loggerhead turtle number BPUE,0.95540133490797619
12,Illuminated,Loggerhead turtle number BPUE,1.0685901288986841
13,Illuminated,Loggerhead turtle number BPUE,0.56014128007841979
14,Illuminated,Loggerhead turtle number BPUE,0
15,Illuminated,Loggerhead turtle number BPUE,0
16,Illuminated,Loggerhead turtle number BPUE,0
17,Illuminated,Loggerhead turtle number BPUE,0
18,Illuminated,Loggerhead turtle number BPUE,0
19,Illuminated,Loggerhead turtle number BPUE,0
20,Illuminated,Loggerhead turtle number BPUE,0
21,Illuminated,Loggerhead turtle number BPUE,0
22,Illuminated,Loggerhead turtle number BPUE,0
23,Illuminated,Loggerhead turtle number BPUE,0
24,Illuminated,Loggerhead turtle number BPUE,0
25,Illuminated,Loggerhead turtle number BPUE,0
26,Illuminated,Loggerhead turtle number BPUE,0
27,Illuminated,Loggerhead turtle number BPUE,0
28,Illuminated,Loggerhead turtle number BPUE,0
1,Control,Total target fish biomass CPUE,0
2,Control,Total target fish biomass CPUE,0
3,Control,Total target fish biomass CPUE,0
4,Control,Total target fish biomass CPUE,0
5,Control,Total target fish biomass CPUE,0
6,Control,Total target fish biomass CPUE,0
7,Control,Total target fish biomass CPUE,0
8,Control,Total target fish biomass CPUE,0
9,Control,Total target fish biomass CPUE,0
10,Control,Total target fish biomass CPUE,2.0666013780000001
11,Control,Total target fish biomass CPUE,5.0816966729999997
12,Control,Total target fish biomass CPUE,0.57957108099999999
13,Control,Total target fish biomass CPUE,0
14,Control,Total target fish biomass CPUE,1.1796765300000001
15,Control,Total target fish biomass CPUE,0
16,Control,Total target fish biomass CPUE,0
17,Control,Total target fish biomass CPUE,0
18,Control,Total target fish biomass CPUE,0
19,Control,Total target fish biomass CPUE,0
20,Control,Total target fish biomass CPUE,1.6492578339999999
21,Control,Total target fish biomass CPUE,4.4451999999999998
22,Control,Total target fish biomass CPUE,0.82099999999999995
23,Control,Total target fish biomass CPUE,7.1195772550000003
24,Control,Total target fish biomass CPUE,0.98071265100000005
25,Control,Total target fish biomass CPUE,5.3792999999999997
26,Control,Total target fish biomass CPUE,2.3012999999999999
27,Control,Total target fish biomass CPUE,27.63676603
28,Control,Total target fish biomass CPUE,12.28178688
1,Illuminated,Total target fish biomass CPUE,1.333926189
2,Illuminated,Total target fish biomass CPUE,0
3,Illuminated,Total target fish biomass CPUE,0
4,Illuminated,Total target fish biomass CPUE,0
5,Illuminated,Total target fish biomass CPUE,0
6,Illuminated,Total target fish biomass CPUE,0.95412701300000002
7,Illuminated,Total target fish biomass CPUE,0
8,Illuminated,Total target fish biomass CPUE,0
9,Illuminated,Total target fish biomass CPUE,0
10,Illuminated,Total target fish biomass CPUE,2.631338511
11,Illuminated,Total target fish biomass CPUE,3.105054338
12,Illuminated,Total target fish biomass CPUE,0.53429506400000004
13,Illuminated,Total target fish biomass CPUE,0
14,Illuminated,Total target fish biomass CPUE,0
15,Illuminated,Total target fish biomass CPUE,0
16,Illuminated,Total target fish biomass CPUE,2.8633612679999998
17,Illuminated,Total target fish biomass CPUE,0
18,Illuminated,Total target fish biomass CPUE,0.439088647
19,Illuminated,Total target fish biomass CPUE,0.47358762399999998
20,Illuminated,Total target fish biomass CPUE,0
21,Illuminated,Total target fish biomass CPUE,0.56089999999999995
22,Illuminated,Total target fish biomass CPUE,8.5470085470000008
23,Illuminated,Total target fish biomass CPUE,4.8364153630000004
24,Illuminated,Total target fish biomass CPUE,0
25,Illuminated,Total target fish biomass CPUE,10.11750587
26,Illuminated,Total target fish biomass CPUE,13.8973
27,Illuminated,Total target fish biomass CPUE,12.882839089999999
28,Illuminated,Total target fish biomass CPUE,12.2923075
1,Control,Total primary target fish biomass CPUE,0
2,Control,Total primary target fish biomass CPUE,0
3,Control,Total primary target fish biomass CPUE,0
4,Control,Total primary target fish biomass CPUE,0
5,Control,Total primary target fish biomass CPUE,0
6,Control,Total primary target fish biomass CPUE,0
7,Control,Total primary target fish biomass CPUE,0
8,Control,Total primary target fish biomass CPUE,0
9,Control,Total primary target fish biomass CPUE,0
10,Control,Total primary target fish biomass CPUE,0.22962112514351318
11,Control,Total primary target fish biomass CPUE,2.4198427102238358
12,Control,Total primary target fish biomass CPUE,0.57957108084613163
13,Control,Total primary target fish biomass CPUE,0
14,Control,Total primary target fish biomass CPUE,0
15,Control,Total primary target fish biomass CPUE,0
16,Control,Total primary target fish biomass CPUE,0
17,Control,Total primary target fish biomass CPUE,0
18,Control,Total primary target fish biomass CPUE,0
19,Control,Total primary target fish biomass CPUE,0
20,Control,Total primary target fish biomass CPUE,1.3743815283122596
21,Control,Total primary target fish biomass CPUE,4.4451999999999998
22,Control,Total primary target fish biomass CPUE,0.82099999999999995
23,Control,Total primary target fish biomass CPUE,3.4174000000000002
24,Control,Total primary target fish biomass CPUE,0
25,Control,Total primary target fish biomass CPUE,5.3792999999999997
26,Control,Total primary target fish biomass CPUE,2.3012999999999999
27,Control,Total primary target fish biomass CPUE,13.942839622380525
28,Control,Total primary target fish biomass CPUE,12.281786877828054
1,Illuminated,Total primary target fish biomass CPUE,0
2,Illuminated,Total primary target fish biomass CPUE,0
3,Illuminated,Total primary target fish biomass CPUE,0
4,Illuminated,Total primary target fish biomass CPUE,0
5,Illuminated,Total primary target fish biomass CPUE,0
6,Illuminated,Total primary target fish biomass CPUE,0
7,Illuminated,Total primary target fish biomass CPUE,0
8,Illuminated,Total primary target fish biomass CPUE,0
9,Illuminated,Total primary target fish biomass CPUE,0
10,Illuminated,Total primary target fish biomass CPUE,1.5349474645957057
11,Illuminated,Total primary target fish biomass CPUE,0
12,Illuminated,Total primary target fish biomass CPUE,0.53429506444934205
13,Illuminated,Total primary target fish biomass CPUE,0
14,Illuminated,Total primary target fish biomass CPUE,0
15,Illuminated,Total primary target fish biomass CPUE,0
16,Illuminated,Total primary target fish biomass CPUE,1.0411999999999999
17,Illuminated,Total primary target fish biomass CPUE,0
18,Illuminated,Total primary target fish biomass CPUE,0
19,Illuminated,Total primary target fish biomass CPUE,0.47358762357677053
20,Illuminated,Total primary target fish biomass CPUE,0
21,Illuminated,Total primary target fish biomass CPUE,0.56090000000000007
22,Illuminated,Total primary target fish biomass CPUE,0.56979999999999997
23,Illuminated,Total primary target fish biomass CPUE,3.6983999999999999
24,Illuminated,Total primary target fish biomass CPUE,0
25,Illuminated,Total primary target fish biomass CPUE,10.117500000000001
26,Illuminated,Total primary target fish biomass CPUE,13.8973
27,Illuminated,Total primary target fish biomass CPUE,7.0490519202722401
28,Illuminated,Total primary target fish biomass CPUE,12.292307498943122
1,Control,Halibut target biomass CPUE,0
2,Control,Halibut target biomass CPUE,0
3,Control,Halibut target biomass CPUE,0
4,Control,Halibut target biomass CPUE,0
5,Control,Halibut target biomass CPUE,0
6,Control,Halibut target biomass CPUE,0
7,Control,Halibut target biomass CPUE,0
8,Control,Halibut target biomass CPUE,0
9,Control,Halibut target biomass CPUE,0
10,Control,Halibut target biomass CPUE,0
11,Control,Halibut target biomass CPUE,0
12,Control,Halibut target biomass CPUE,0.2898
13,Control,Halibut target biomass CPUE,0
14,Control,Halibut target biomass CPUE,0
15,Control,Halibut target biomass CPUE,0
16,Control,Halibut target biomass CPUE,0
17,Control,Halibut target biomass CPUE,0
18,Control,Halibut target biomass CPUE,0
19,Control,Halibut target biomass CPUE,0
20,Control,Halibut target biomass CPUE,0
21,Control,Halibut target biomass CPUE,4.4451999999999998
22,Control,Halibut target biomass CPUE,0.82099999999999995
23,Control,Halibut target biomass CPUE,3.4174000000000002
24,Control,Halibut target biomass CPUE,0
25,Control,Halibut target biomass CPUE,5.3792999999999997
26,Control,Halibut target biomass CPUE,2.3012999999999999
27,Control,Halibut target biomass CPUE,13.1959
28,Control,Halibut target biomass CPUE,7.7568999999999999
1,Illuminated,Halibut target biomass CPUE,0
2,Illuminated,Halibut target biomass CPUE,0
3,Illuminated,Halibut target biomass CPUE,0
4,Illuminated,Halibut target biomass CPUE,0
5,Illuminated,Halibut target biomass CPUE,0
6,Illuminated,Halibut target biomass CPUE,0
7,Illuminated,Halibut target biomass CPUE,0
8,Illuminated,Halibut target biomass CPUE,0
9,Illuminated,Halibut target biomass CPUE,0
10,Illuminated,Halibut target biomass CPUE,0
11,Illuminated,Halibut target biomass CPUE,0
12,Illuminated,Halibut target biomass CPUE,0
13,Illuminated,Halibut target biomass CPUE,0
14,Illuminated,Halibut target biomass CPUE,0
15,Illuminated,Halibut target biomass CPUE,0
