gillnet_pair,animal_type,exp_unit,bpue
7,loggerhead_number_bpue,illuminated,0.462130937
8,loggerhead_number_bpue,illuminated,0
9,loggerhead_number_bpue,illuminated,0.517642999
10,loggerhead_number_bpue,illuminated,0
11,loggerhead_number_bpue,illuminated,0.955401335
12,loggerhead_number_bpue,illuminated,1.068590129
13,loggerhead_number_bpue,illuminated,0.56014128
14,loggerhead_number_bpue,illuminated,0
15,loggerhead_number_bpue,illuminated,0
16,loggerhead_number_bpue,illuminated,0
17,loggerhead_number_bpue,illuminated,0
18,loggerhead_number_bpue,illuminated,0
19,loggerhead_number_bpue,illuminated,0
20,loggerhead_number_bpue,illuminated,0
21,loggerhead_number_bpue,illuminated,0
22,loggerhead_number_bpue,illuminated,0
23,loggerhead_number_bpue,illuminated,0
24,loggerhead_number_bpue,illuminated,0
25,loggerhead_number_bpue,illuminated,0
26,loggerhead_number_bpue,illuminated,0
27,loggerhead_number_bpue,illuminated,0
28,loggerhead_number_bpue,illuminated,0
1,total_fish_bpue,control,0
2,total_fish_bpue,control,0
3,total_fish_bpue,control,0
4,total_fish_bpue,control,0
5,total_fish_bpue,control,0
6,total_fish_bpue,control,0
7,total_fish_bpue,control,0
8,total_fish_bpue,control,0
9,total_fish_bpue,control,0
10,total_fish_bpue,control,2.07
11,total_fish_bpue,control,5.08
12,total_fish_bpue,control,0.58
13,total_fish_bpue,control,0
14,total_fish_bpue,control,1.18
15,total_fish_bpue,control,0
16,total_fish_bpue,control,0
17,total_fish_bpue,control,0
18,total_fish_bpue,control,0
19,total_fish_bpue,control,0
20,total_fish_bpue,control,1.65
21,total_fish_bpue,control,4.45
22,total_fish_bpue,control,0.82
23,total_fish_bpue,control,7.12
24,total_fish_bpue,control,0.98
25,total_fish_bpue,control,5.38
26,total_fish_bpue,control,2.3
27,total_fish_bpue,control,27.64
28,total_fish_bpue,control,12.28
1,total_fish_bpue,illuminated,1.33
2,total_fish_bpue,illuminated,0
3,total_fish_bpue,illuminated,0
4,total_fish_bpue,illuminated,0
5,total_fish_bpue,illuminated,0
6,total_fish_bpue,illuminated,0.95
7,total_fish_bpue,illuminated,0
8,total_fish_bpue,illuminated,0
9,total_fish_bpue,illuminated,0
10,total_fish_bpue,illuminated,2.63
11,total_fish_bpue,illuminated,3.11
12,total_fish_bpue,illuminated,0.53
13,total_fish_bpue,illuminated,0
14,total_fish_bpue,illuminated,0
15,total_fish_bpue,illuminated,0
16,total_fish_bpue,illuminated,2.86
17,total_fish_bpue,illuminated,0
18,total_fish_bpue,illuminated,0.44
19,total_fish_bpue,illuminated,0.47
20,total_fish_bpue,illuminated,0
21,total_fish_bpue,illuminated,0.56
22,total_fish_bpue,illuminated,8.55
23,total_fish_bpue,illuminated,4.84
24,total_fish_bpue,illuminated,0
25,total_fish_bpue,illuminated,10.12
26,total_fish_bpue,illuminated,13.9
27,total_fish_bpue,illuminated,12.88
28,total_fish_bpue,illuminated,12.29
1,total_primary_fish_bpue,control,0
2,total_primary_fish_bpue,control,0
3,total_primary_fish_bpue,control,0
4,total_primary_fish_bpue,control,0
5,total_primary_fish_bpue,control,0
6,total_primary_fish_bpue,control,0
7,total_primary_fish_bpue,control,0
8,total_primary_fish_bpue,control,0
9,total_primary_fish_bpue,control,0
10,total_primary_fish_bpue,control,0.23
11,total_primary_fish_bpue,control,2.42
12,total_primary_fish_bpue,control,0.58
13,total_primary_fish_bpue,control,0
14,total_primary_fish_bpue,control,0
15,total_primary_fish_bpue,control,0
16,total_primary_fish_bpue,control,0
17,total_primary_fish_bpue,control,0
18,total_primary_fish_bpue,control,0
19,total_primary_fish_bpue,control,0
20,total_primary_fish_bpue,control,1.37
21,total_primary_fish_bpue,control,4.45
22,total_primary_fish_bpue,control,0.82
23,total_primary_fish_bpue,control,3.42
24,total_primary_fish_bpue,control,0
25,total_primary_fish_bpue,control,5.38
26,total_primary_fish_bpue,control,2.3
27,total_primary_fish_bpue,control,13.94
28,total_primary_fish_bpue,control,12.28
1,total_primary_fish_bpue,illuminated,0
2,total_primary_fish_bpue,illuminated,0
3,total_primary_fish_bpue,illuminated,0
4,total_primary_fish_bpue,illuminated,0
5,total_primary_fish_bpue,illuminated,0
6,total_primary_fish_bpue,illuminated,0
7,total_primary_fish_bpue,illuminated,0
8,total_primary_fish_bpue,illuminated,0
9,total_primary_fish_bpue,illuminated,0
10,total_primary_fish_bpue,illuminated,1.53
11,total_primary_fish_bpue,illuminated,0
12,total_primary_fish_bpue,illuminated,0.53
13,total_primary_fish_bpue,illuminated,0
14,total_primary_fish_bpue,illuminated,0
15,total_primary_fish_bpue,illuminated,0
16,total_primary_fish_bpue,illuminated,1.04
17,total_primary_fish_bpue,illuminated,0
18,total_primary_fish_bpue,illuminated,0
19,total_primary_fish_bpue,illuminated,0.47
20,total_primary_fish_bpue,illuminated,0
21,total_primary_fish_bpue,illuminated,0.56
22,total_primary_fish_bpue,illuminated,0.57
23,total_primary_fish_bpue,illuminated,3.7
24,total_primary_fish_bpue,illuminated,0
25,total_primary_fish_bpue,illuminated,10.12
26,total_primary_fish_bpue,illuminated,13.9
27,total_primary_fish_bpue,illuminated,7.05
28,total_primary_fish_bpue,illuminated,12.29
1,halibut_bpue,control,0
2,halibut_bpue,control,0
3,halibut_bpue,control,0
4,halibut_bpue,control,0
5,halibut_bpue,control,0
6,halibut_bpue,control,0
7,halibut_bpue,control,0
8,halibut_bpue,control,0
9,halibut_bpue,control,0
10,halibut_bpue,control,0
11,halibut_bpue,control,0
12,halibut_bpue,control,0.29
13,halibut_bpue,control,0
14,halibut_bpue,control,0
15,halibut_bpue,control,0
16,halibut_bpue,control,0
17,halibut_bpue,control,0
18,halibut_bpue,control,0
19,halibut_bpue,control,0
20,halibut_bpue,control,0
21,halibut_bpue,control,4.45
22,halibut_bpue,control,0.82
23,halibut_bpue,control,3.42
24,halibut_bpue,control,0
25,halibut_bpue,control,5.38
26,halibut_bpue,control,2.3
27,halibut_bpue,control,13.2
28,halibut_bpue,control,7.76
1,halibut_bpue,illuminated,0
2,halibut_bpue,illuminated,0
3,halibut_bpue,illuminated,0
4,halibut_bpue,illuminated,0
5,halibut_bpue,illuminated,0
6,halibut_bpue,illuminated,0
7,halibut_bpue,illuminated,0
8,halibut_bpue,illuminated,0
9,halibut_bpue,illuminated,0
10,halibut_bpue,illuminated,0
11,halibut_bpue,illuminated,0
12,halibut_bpue,illuminated,0
13,halibut_bpue,illuminated,0
14,halibut_bpue,illuminated,0
15,halibut_bpue,illuminated,0
16,halibut_bpue,illuminated,1.04
17,halibut_bpue,illuminated,0
18,halibut_bpue,illuminated,0
19,halibut_bpue,illuminated,0
20,halibut_bpue,illuminated,0
21,halibut_bpue,illuminated,0.56
22,halibut_bpue,illuminated,0.57
23,halibut_bpue,illuminated,3.7
24,halibut_bpue,illuminated,0
25,halibut_bpue,illuminated,10.12
26,halibut_bpue,illuminated,13.9
27,halibut_bpue,illuminated,4.86
28,halibut_bpue,illuminated,9.07
1,grouper_bpue,control,0
2,grouper_bpue,control,0
3,grouper_bpue,control,0
4,grouper_bpue,control,0
5,grouper_bpue,control,0
6,grouper_bpue,control,0
7,grouper_bpue,control,0
8,grouper_bpue,control,0
9,grouper_bpue,control,0
10,grouper_bpue,control,0.23
11,grouper_bpue,control,2.42
12,grouper_bpue,control,0.29
13,grouper_bpue,control,0
14,grouper_bpue,control,0
15,grouper_bpue,control,0
16,grouper_bpue,control,0
17,grouper_bpue,control,0
18,grouper_bpue,control,0
19,grouper_bpue,control,0
20,grouper_bpue,control,1.37
21,grouper_bpue,control,0
22,grouper_bpue,control,0
23,grouper_bpue,control,0
24,grouper_bpue,control,0
25,grouper_bpue,control,0
26,grouper_bpue,control,0
27,grouper_bpue,control,0.75
28,grouper_bpue,control,4.52
1,grouper_bpue,illuminated,0
2,grouper_bpue,illuminated,0
3,grouper_bpue,illuminated,0
4,grouper_bpue,illuminated,0
5,grouper_bpue,illuminated,0
6,grouper_bpue,illuminated,0
7,grouper_bpue,illuminated,0
8,grouper_bpue,illuminated,0
9,grouper_bpue,illuminated,0
10,grouper_bpue,illuminated,1.53
11,grouper_bpue,illuminated,0
12,grouper_bpue,illuminated,0.53
13,grouper_bpue,illuminated,0
14,grouper_bpue,illuminated,0
15,grouper_bpue,illuminated,0
16,grouper_bpue,illuminated,0
17,grouper_bpue,illuminated,0
18,grouper_bpue,illuminated,0
19,grouper_bpue,illuminated,0.47
20,grouper_bpue,illuminated,0
21,grouper_bpue,illuminated,0
22,grouper_bpue,illuminated,0
23,grouper_bpue,illuminated,0
24,grouper_bpue,illuminated,0
25,grouper_bpue,illuminated,0
26,grouper_bpue,illuminated,0
27,grouper_bpue,illuminated,2.19
28,grouper_bpue,illuminated,3.22
1,total_secondary_fish_bpue,control,0
2,total_secondary_fish_bpue,control,0
3,total_secondary_fish_bpue,control,0
4,total_secondary_fish_bpue,control,0
5,total_secondary_fish_bpue,control,0
6,total_secondary_fish_bpue,control,0
7,total_secondary_fish_bpue,control,0
8,total_secondary_fish_bpue,control,0
9,total_secondary_fish_bpue,control,0
10,total_secondary_fish_bpue,control,1.84
11,total_secondary_fish_bpue,control,2.66
12,total_secondary_fish_bpue,control,0
13,total_secondary_fish_bpue,control,0
14,total_secondary_fish_bpue,control,1.18
15,total_secondary_fish_bpue,control,0
16,total_secondary_fish_bpue,control,0
17,total_secondary_fish_bpue,control,0
18,total_secondary_fish_bpue,control,0
19,total_secondary_fish_bpue,control,0
20,total_secondary_fish_bpue,control,0.27
21,total_secondary_fish_bpue,control,0
